voltage_mean,voltage_min,voltage_std,voltage_drop,voltage_slope,temp_mean,temp_max,temp_rise,current_mean,current_std,discharge_time,internal_resistance_proxy,battery_id,capacity,cycle_number
3.711124410853302,1.9816234331870684,0.35678007516983207,0.29666737891805006,0.0002397504714045698,32.92186001227232,47.876225604831575,2.016984339367262,-0.8434083856406145,1.638153210495079,3260.531,0.17275848619965373,B0033,0.6895699007862814,1
3.2783227167816347,1.9084502918482384,0.3428363598523814,0.5759354321273138,0.00019834914611172144,38.38790398376905,52.934331210631875,3.9640104378726093,-2.0901970020049796,2.0129671090991352,3236.125,0.16635705113157812,B0033,1.6560966776720512,2
3.363067060356932,1.853794752061886,0.3357168458725349,0.5270659943422276,0.00018339697515943194,36.82880890580392,51.546238399221565,3.5407758733281476,-2.013794306543018,2.0141759482096075,3210.546,0.1389709054852201,B0033,1.6260888111680731,3
3.3797924807639497,1.851172103937757,0.345953360140735,0.5144498923689698,0.00020129088285756333,36.9366572729415,51.73653410504897,3.7480137686683825,-1.9390478398653899,2.0129741964510552,3155.25,0.13954587200913776,B0033,1.5708599066554392,4
3.3650234144470383,1.9532771236637267,0.32006108708952935,0.5238922652740317,0.00018139474057650795,38.29010703689238,52.54160752520686,4.009755486466634,-1.9699579429762437,2.0144914056550065,3173.766,0.13920110578466893,B0033,1.6261581345348248,5
3.3689329269735935,1.8536215036991408,0.32424058469684164,0.5330501972703003,0.00017586751148526502,39.01026242097409,53.32326193954195,3.7761915001694035,-1.9765813157256331,2.014195215132191,3199.485,0.13755260075281284,B0033,1.6348129972245726,6
3.366918878823245,1.9102322543360104,0.3277958024394289,0.5416832373783644,0.00018080464193093588,37.84185542205372,52.530629852108135,3.6854975546807793,-1.9635759174250933,2.014175504314943,3183.516,0.13947773370748387,B0033,1.62418934644937,7
3.3814602813053565,1.90750106961619,0.3493256655073446,0.5127435800719558,0.00021551424464909562,37.45856152891539,52.51312011499367,3.685296931709491,-1.8905533567609432,2.0109144454713883,3141.578,0.14366022778322796,B0033,1.5352188565640517,8
3.3802226813643506,1.9292976600569,0.35159773470927963,0.5110563614401964,0.00021859736293246496,37.30881892500591,52.3982280962388,3.6820655325418734,-1.8970740226558997,2.011513120623431,3138.187,0.14442987057795564,B0033,1.5252677314227332,9
3.3807487345829386,1.9196175823544368,0.35659854598235996,0.5090305385112419,0.0002264755363117147,37.544265495755084,52.77330169161603,3.6685185865277887,-1.8716970766889984,2.0099880826493135,3129.797,0.14592693896700407,B0033,1.5051936202146428,10
3.36715546033601,1.936708367530743,0.35173727176419645,0.5160713495588558,0.00022243062876454422,37.70129878535826,52.91631108720558,3.68926383198443,-1.9028947862672643,2.012195477277145,3147.141,0.14804953435002466,B0033,1.539756404636803,11
3.3510576239073595,1.7802670666869505,0.390788396244626,0.5026277321029653,0.0002639489110879628,37.7850290530126,54.05963088053671,4.00202101793294,-1.8565697419065548,2.008060251051999,3069.812,0.15946188138579573,B0033,1.4205315547561643,12
3.356737655890981,1.8129227899512983,0.38764476209062526,0.5018882451792068,0.00026763491665124725,38.021927947894824,54.16320225337546,3.7591704763966334,-1.8297056790119524,2.0060010073530257,3065.953,0.16195831633614852,B0033,1.4226030447542912,13
3.3585293300274706,1.9001242255219513,0.3865950029283199,0.500384775188695,0.0002717560465172947,37.68310772114252,53.87733726225828,4.064645405561048,-1.828956868281706,2.0066949472802174,3055.828,0.16254595546722775,B0033,1.410196954589097,14
3.348905668243179,1.793591568720353,0.3999917318914672,0.49909915566773044,0.00028156247340610784,38.7565059715467,55.29175004355109,4.712159955448286,-1.8127387092209186,2.0043694952453803,3042.703,0.1648306791295584,B0033,1.3786129327882322,15
3.373391130621014,1.9774094380313447,0.37547930083237563,0.4993113741484727,0.00026548272791602383,38.41375319607374,54.152949724280695,3.697607428969036,-1.7963463690245949,2.004141332783143,3046.125,0.16111466603699146,B0033,1.3946003892958665,16
3.36155800725267,1.8460476497404992,0.390076974150413,0.49820124675740196,0.00027494750800078846,38.40063671961678,54.64702813763124,3.931604045887468,-1.8013083911049832,2.0036596013347667,3020.984,0.16658918411082357,B0033,1.3715114742475478,17
3.3646263159375533,1.9599501667839596,0.3864793347809497,0.4943114054470934,0.0002793080909116404,38.39044541549165,54.505104228610136,4.040772391584063,-1.7919918693222388,2.003688479820965,3017.391,0.16514024952428186,B0033,1.3616865084879255,18
3.3583777699926785,1.9111619475065968,0.3910010358774511,0.4970222993884943,0.0002805630060749675,38.33585742030365,54.421332192558104,3.842823907934406,-1.8083702695002635,2.005024395466924,3022.14,0.16609810009272746,B0033,1.3796301360966086,19
3.3602601445065905,1.8428005555738187,0.3870714840997395,0.4995529834934467,0.0002693794076822383,38.39842505603528,54.53515875704883,3.8172632785468465,-1.8283380442991055,2.0063594297552134,3033.625,0.16318721346991316,B0033,1.3961613987822286,20
3.358003989298615,1.7746653306163975,0.393910406075564,0.5058428720618902,0.0002728236071768822,38.5100324254832,54.77734925210607,4.025465575380789,-1.8108049336910572,2.0042805271692985,3028.562,0.16454674843792438,B0033,1.384968608315797,21
3.359575322328241,1.862859289057269,0.38136113733078747,0.5101726362624577,0.0002668165702477166,38.089524756904,53.57147874982123,4.230351029169086,-1.8407709481776071,2.008074294344769,2986.469,0.16270669222974843,B0033,1.4031824838852518,22
3.3571675251434945,1.7914848144741025,0.3967392136997358,0.4971309578183343,0.00028077235043487463,38.44024987650422,54.599932749714995,4.000987212968127,-1.798733884420521,2.003101533109231,3009.016,0.16386341190233136,B0033,1.364231776003204,23
3.3583632498611675,1.8293764049246997,0.39812534052452825,0.4958389369647942,0.00028441374613522545,38.536213089297746,55.041315475822266,4.116927868332748,-1.7886164084551721,2.002099062098337,3011.75,0.16612560632040455,B0033,1.3403860264029774,24
